2017-12-04,1133.01
2017-12-01,1162.35
2017-11-30,1176.75
2017-11-29,1161.27
2017-11-28,1193.60
2017-11-27,1195.83
2017-11-24,1186.00
2017-11-22,1156.16
2017-11-21,1139.49
2017-11-20,1126.31
2017-11-17,1129.88
2017-11-16,1137.29
2017-11-15,1126.69
2017-11-14,1136.84
2017-11-13,1129.17
2017-11-10,1125.35
2017-11-09,1129.13
2017-11-08,1132.88
2017-11-07,1123.17
2017-11-06,1120.66
2017-11-03,1111.60
2017-11-02,1094.22
2017-11-01,1103.68
2017-10-31,1105.28
2017-10-30,1110.85
2017-10-27,1100.95
2017-10-26,972.43
2017-10-25,972.91
2017-10-24,975.90
2017-10-23,966.30
2017-10-20,982.91
2017-10-19,986.61
2017-10-18,997.00
2017-10-17,1009.13
2017-10-16,1006.34
2017-10-13,1002.94
2017-10-12,1000.93
2017-10-11,995.00
2017-10-10,987.20
2017-10-09,990.99
2017-10-06,989.58
2017-10-05,980.85
2017-10-04,965.45
2017-10-03,957.10
2017-10-02,959.19
2017-09-29,961.35
2017-09-28,956.40
2017-09-27,950.87
2017-09-26,938.60
2017-09-25,939.79
2017-09-22,955.10
2017-09-21,964.65
2017-09-20,973.21
2017-09-19,969.86
2017-09-18,974.19
2017-09-15,986.79
2017-09-14,992.21
2017-09-13,999.60
2017-09-12,982.58
2017-09-11,977.96
2017-09-08,965.90
2017-09-07,979.47
2017-09-06,967.80
2017-09-05,965.27
2017-09-01,978.25
2017-08-31,980.60
2017-08-30,967.59
2017-08-29,954.06
2017-08-28,946.02
2017-08-25,945.26
2017-08-24,952.45
2017-08-23,958.00
2017-08-22,966.90
2017-08-21,953.29
2017-08-18,958.47
2017-08-17,960.57
2017-08-16,978.18
2017-08-15,982.74
2017-08-14,983.30
2017-08-11,967.99
2017-08-10,956.92
2017-08-09,982.01
2017-08-08,989.84
2017-08-07,992.27
2017-08-04,987.58
2017-08-03,986.92
2017-08-02,995.89
2017-08-01,996.19
2017-07-31,987.78
2017-07-28,1020.04
2017-07-27,1046.00
2017-07-26,1052.80
2017-07-25,1039.87
2017-07-24,1038.95
2017-07-21,1025.67
2017-07-20,1028.70
2017-07-19,1026.87
2017-07-18,1024.45
2017-07-17,1010.04
2017-07-14,1001.81
2017-07-13,1000.63
2017-07-12,1006.51
2017-07-11,994.13
2017-07-10,996.47
2017-07-07,978.76
2017-07-06,965.14
2017-07-05,971.40
2017-07-03,953.66
2017-06-30,968.00
2017-06-29,975.93
2017-06-28,990.33
2017-06-27,976.78
2017-06-26,993.98
2017-06-23,1003.74
2017-06-22,1001.30
2017-06-21,1002.23
2017-06-20,992.59
2017-06-19,995.17
2017-06-16,987.71
2017-06-15,964.17
2017-06-14,976.47
2017-06-13,980.79
2017-06-12,964.91
2017-06-09,978.31
2017-06-08,1010.27
2017-06-07,1010.07
2017-06-06,1003.00
2017-06-05,1011.34
2017-06-02,1006.73
2017-06-01,995.95
2017-05-31,994.62
2017-05-30,996.70
2017-05-26,995.78
2017-05-25,993.38
2017-05-24,980.35
2017-05-23,971.54
2017-05-22,970.67
2017-05-19,959.84
2017-05-18,958.49
2017-05-17,944.76
2017-05-16,966.07
2017-05-15,957.97
2017-05-12,961.35
2017-05-11,947.62
2017-05-10,948.95
2017-05-09,952.82
2017-05-08,949.04
2017-05-05,934.15
2017-05-04,937.53
2017-05-03,941.03
2017-05-02,946.94
2017-05-01,948.23
2017-04-28,924.99
2017-04-27,918.38
2017-04-26,909.29
2017-04-25,907.62
2017-04-24,907.41
2017-04-21,898.53
2017-04-20,902.06
2017-04-19,899.20
2017-04-18,903.78
2017-04-17,901.99
2017-04-13,884.67
2017-04-12,896.23
2017-04-11,902.36
2017-04-10,907.04
2017-04-07,894.88
2017-04-06,898.28
2017-04-05,909.28
2017-04-04,906.83
2017-04-03,891.51
2017-03-31,886.54
2017-03-30,876.34
2017-03-29,874.32
2017-03-28,856.00
2017-03-27,846.82
2017-03-24,845.61
2017-03-23,847.38
2017-03-22,848.06
2017-03-21,843.20
2017-03-20,856.97
2017-03-17,852.31
2017-03-16,853.42
2017-03-15,852.97
2017-03-14,852.53
2017-03-13,854.59
2017-03-10,852.46
2017-03-09,853.00
2017-03-08,850.50
2017-03-07,846.02
2017-03-06,846.61
2017-03-03,849.88
2017-03-02,848.91
2017-03-01,853.08
2017-02-28,845.04
2017-02-27,848.64
2017-02-24,845.24
2017-02-23,852.19
2017-02-22,855.61
2017-02-21,856.44
